DAY_DATE,YEAR,MONTH,MONTH_NAME,DAY_OF_MON,DAY_OF_WEEK,WEEK_OF_YEAR,DAY_OF_YEAR
2000-01-01,2000,1,Jan,1,6,52,1
2000-01-02,2000,1,Jan,2,0,52,2
2000-01-03,2000,1,Jan,3,1,1,3
2000-01-04,2000,1,Jan,4,2,1,4
2000-01-05,2000,1,Jan,5,3,1,5
2000-01-06,2000,1,Jan,6,4,1,6
2000-01-07,2000,1,Jan,7,5,1,7
2000-01-08,2000,1,Jan,8,6,1,8
2000-01-09,2000,1,Jan,9,0,1,9
2000-01-10,2000,1,Jan,10,1,2,10
2000-01-11,2000,1,Jan,11,2,2,11
2000-01-12,2000,1,Jan,12,3,2,12
2000-01-13,2000,1,Jan,13,4,2,13
2000-01-14,2000,1,Jan,14,5,2,14
2000-01-15,2000,1,Jan,15,6,2,15
2000-01-16,2000,1,Jan,16,0,2,16
2000-01-17,2000,1,Jan,17,1,3,17
2000-01-18,2000,1,Jan,18,2,3,18
2000-01-19,2000,1,Jan,19,3,3,19
2000-01-20,2000,1,Jan,20,4,3,20
2000-01-21,2000,1,Jan,21,5,3,21
2000-01-22,2000,1,Jan,22,6,3,22
2000-01-23,2000,1,Jan,23,0,3,23
2000-01-24,2000,1,Jan,24,1,4,24
2000-01-25,2000,1,Jan,25,2,4,25
2000-01-26,2000,1,Jan,26,3,4,26
2000-01-27,2000,1,Jan,27,4,4,27
2000-01-28,2000,1,Jan,28,5,4,28
2000-01-29,2000,1,Jan,29,6,4,29
2000-01-30,2000,1,Jan,30,0,4,30
2000-01-31,2000,1,Jan,31,1,5,31
2000-02-01,2000,2,Feb,1,2,5,32
2000-02-02,2000,2,Feb,2,3,5,33
2000-02-03,2000,2,Feb,3,4,5,34
2000-02-04,2000,2,Feb,4,5,5,35
2000-02-05,2000,2,Feb,5,6,5,36
2000-02-06,2000,2,Feb,6,0,5,37
2000-02-07,2000,2,Feb,7,1,6,38
2000-02-08,2000,2,Feb,8,2,6,39
2000-02-09,2000,2,Feb,9,3,6,40
2000-02-10,2000,2,Feb,10,4,6,41
2000-02-11,2000,2,Feb,11,5,6,42
2000-02-12,2000,2,Feb,12,6,6,43
2000-02-13,2000,2,Feb,13,0,6,44
2000-02-14,2000,2,Feb,14,1,7,45
2000-02-15,2000,2,Feb,15,2,7,46
2000-02-16,2000,2,Feb,16,3,7,47
2000-02-17,2000,2,Feb,17,4,7,48
2000-02-18,2000,2,Feb,18,5,7,49
2000-02-19,2000,2,Feb,19,6,7,50
2000-02-20,2000,2,Feb,20,0,7,51
2000-02-21,2000,2,Feb,21,1,8,52
2000-02-22,2000,2,Feb,22,2,8,53
2000-02-23,2000,2,Feb,23,3,8,54
2000-02-24,2000,2,Feb,24,4,8,55
2000-02-25,2000,2,Feb,25,5,8,56
2000-02-26,2000,2,Feb,26,6,8,57
2000-02-27,2000,2,Feb,27,0,8,58
2000-02-28,2000,2,Feb,28,1,9,59
2000-02-29,2000,2,Feb,29,2,9,60
2000-03-01,2000,3,Mar,1,3,9,61
2000-03-02,2000,3,Mar,2,4,9,62
2000-03-03,2000,3,Mar,3,5,9,63
2000-03-04,2000,3,Mar,4,6,9,64
2000-03-05,2000,3,Mar,5,0,9,65
2000-03-06,2000,3,Mar,6,1,10,66
2000-03-07,2000,3,Mar,7,2,10,67
2000-03-08,2000,3,Mar,8,3,10,68
2000-03-09,2000,3,Mar,9,4,10,69
2000-03-10,2000,3,Mar,10,5,10,70
2000-03-11,2000,3,Mar,11,6,10,71
2000-03-12,2000,3,Mar,12,0,10,72
2000-03-13,2000,3,Mar,13,1,11,73
2000-03-14,2000,3,Mar,14,2,11,74
2000-03-15,2000,3,Mar,15,3,11,75
2000-03-16,2000,3,Mar,16,4,11,76
2000-03-17,2000,3,Mar,17,5,11,77
2000-03-18,2000,3,Mar,18,6,11,78
2000-03-19,2000,3,Mar,19,0,11,79
2000-03-20,2000,3,Mar,20,1,12,80
2000-03-21,2000,3,Mar,21,2,12,81
2000-03-22,2000,3,Mar,22,3,12,82
2000-03-23,2000,3,Mar,23,4,12,83
2000-03-24,2000,3,Mar,24,5,12,84
2000-03-25,2000,3,Mar,25,6,12,85
2000-03-26,2000,3,Mar,26,0,12,86
2000-03-27,2000,3,Mar,27,1,13,87
2000-03-28,2000,3,Mar,28,2,13,88
2000-03-29,2000,3,Mar,29,3,13,89
2000-03-30,2000,3,Mar,30,4,13,90
2000-03-31,2000,3,Mar,31,5,13,91
2000-04-01,2000,4,Apr,1,6,13,92
2000-04-02,2000,4,Apr,2,0,13,93
2000-04-03,2000,4,Apr,3,1,14,94
2000-04-04,2000,4,Apr,4,2,14,95
2000-04-05,2000,4,Apr,5,3,14,96
2000-04-06,2000,4,Apr,6,4,14,97
2000-04-07,2000,4,Apr,7,5,14,98
2000-04-08,2000,4,Apr,8,6,14,99
2000-04-09,2000,4,Apr,9,0,14,100
2000-04-10,2000,4,Apr,10,1,15,101
2000-04-11,2000,4,Apr,11,2,15,102
2000-04-12,2000,4,Apr,12,3,15,103
2000-04-13,2000,4,Apr,13,4,15,104
2000-04-14,2000,4,Apr,14,5,15,105
2000-04-15,2000,4,Apr,15,6,15,106
2000-04-16,2000,4,Apr,16,0,15,107
2000-04-17,2000,4,Apr,17,1,16,108
2000-04-18,2000,4,Apr,18,2,16,109
2000-04-19,2000,4,Apr,19,3,16,110
2000-04-20,2000,4,Apr,20,4,16,111
2000-04-21,2000,4,Apr,21,5,16,112
2000-04-22,2000,4,Apr,22,6,16,113
2000-04-23,2000,4,Apr,23,0,16,114
2000-04-24,2000,4,Apr,24,1,17,115
2000-04-25,2000,4,Apr,25,2,17,116
2000-04-26,2000,4,Apr,26,3,17,117
2000-04-27,2000,4,Apr,27,4,17,118
2000-04-28,2000,4,Apr,28,5,17,119
2000-04-29,2000,4,Apr,29,6,17,120
2000-04-30,2000,4,Apr,30,0,17,121
2000-05-01,2000,5,May,1,1,18,122
2000-05-02,2000,5,May,2,2,18,123
2000-05-03,2000,5,May,3,3,18,124
2000-05-04,2000,5,May,4,4,18,125
2000-05-05,2000,5,May,5,5,18,126
2000-05-06,2000,5,May,6,6,18,127
2000-05-07,2000,5,May,7,0,18,128
2000-05-08,2000,5,May,8,1,19,129
2000-05-09,2000,5,May,9,2,19,130
2000-05-10,2000,5,May,10,3,19,131
2000-05-11,2000,5,May,11,4,19,132
2000-05-12,2000,5,May,12,5,19,133
2000-05-13,2000,5,May,13,6,19,134
2000-05-14,2000,5,May,14,0,19,135
2000-05-15,2000,5,May,15,1,20,136
2000-05-16,2000,5,May,16,2,20,137
2000-05-17,2000,5,May,17,3,20,138
2000-05-18,2000,5,May,18,4,20,139
2000-05-19,2000,5,May,19,5,20,140
2000-05-20,2000,5,May,20,6,20,141
2000-05-21,2000,5,May,21,0,20,142
2000-05-22,2000,5,May,22,1,21,143
2000-05-23,2000,5,May,23,2,21,144
2000-05-24,2000,5,May,24,3,21,145
2000-05-25,2000,5,May,25,4,21,146
2000-05-26,2000,5,May,26,5,21,147
2000-05-27,2000,5,May,27,6,21,148
2000-05-28,2000,5,May,28,0,21,149
2000-05-29,2000,5,May,29,1,22,150
2000-05-30,2000,5,May,30,2,22,151
2000-05-31,2000,5,May,31,3,22,152
2000-06-01,2000,6,Jun,1,4,22,153
2000-06-02,2000,6,Jun,2,5,22,154
2000-06-03,2000,6,Jun,3,6,22,155
2000-06-04,2000,6,Jun,4,0,22,156
2000-06-05,2000,6,Jun,5,1,23,157
2000-06-06,2000,6,Jun,6,2,23,158
2000-06-07,2000,6,Jun,7,3,23,159
2000-06-08,2000,6,Jun,8,4,23,160
2000-06-09,2000,6,Jun,9,5,23,161
2000-06-10,2000,6,Jun,10,6,23,162
2000-06-11,2000,6,Jun,11,0,23,163
2000-06-12,2000,6,Jun,12,1,24,164
2000-06-13,2000,6,Jun,13,2,24,165
2000-06-14,2000,6,Jun,14,3,24,166
2000-06-15,2000,6,Jun,15,4,24,167
2000-06-16,2000,6,Jun,16,5,24,168
2000-06-17,2000,6,Jun,17,6,24,169
2000-06-18,2000,6,Jun,18,0,24,170
2000-06-19,2000,6,Jun,19,1,25,171
2000-06-20,2000,6,Jun,20,2,25,172
2000-06-21,2000,6,Jun,21,3,25,173
2000-06-22,2000,6,Jun,22,4,25,174
2000-06-23,2000,6,Jun,23,5,25,175
2000-06-24,2000,6,Jun,24,6,25,176
2000-06-25,2000,6,Jun,25,0,25,177
2000-06-26,2000,6,Jun,26,1,26,178
2000-06-27,2000,6,Jun,27,2,26,179
2000-06-28,2000,6,Jun,28,3,26,180
2000-06-29,2000,6,Jun,29,4,26,181
2000-06-30,2000,6,Jun,30,5,26,182
2000-07-01,2000,7,Jul,1,6,26,183
2000-07-02,2000,7,Jul,2,0,26,184
2000-07-03,2000,7,Jul,3,1,27,185
2000-07-04,2000,7,Jul,4,2,27,186
2000-07-05,2000,7,Jul,5,3,27,187
2000-07-06,2000,7,Jul,6,4,27,188
2000-07-07,2000,7,Jul,7,5,27,189
2000-07-08,2000,7,Jul,8,6,27,190
2000-07-09,2000,7,Jul,9,0,27,191
